Candidate Report,Reference Report,BERT_Precision,BERT_Recall,BERT_F1
Generated_Interview_Questions,자기소개서,0.4817858934402466,0.4684886336326599,0.47504422068595886
Generated_Interview_Questions,이력서,0.34513357281684875,0.3055698573589325,0.324148952960968
Generated_Interview_Questions,프로젝트 내역,0.4419137239456177,0.3720385432243347,0.4039768576622009
Generated_Interview_Questions,회사 공고,0.45801621675491333,0.44157516956329346,0.449645459651947
Generated_Interview_Questions,전체 데이터,0.5162937641143799,0.3865868151187897,0.44212353229522705
Generated_Saramin_Questions,자기소개서,0.4634511470794678,0.47691816091537476,0.4700882136821747
Generated_Saramin_Questions,이력서,0.33188748359680176,0.3126518130302429,0.32198262214660645
Generated_Saramin_Questions,프로젝트 내역,0.4051472544670105,0.35319221019744873,0.37738996744155884
Generated_Saramin_Questions,회사 공고,0.4706060588359833,0.47034767270088196,0.47047683596611023
Generated_Saramin_Questions,전체 데이터,0.5131740570068359,0.3913830518722534,0.4440794885158539
Generated_Wanted_Questions,자기소개서,0.47777169942855835,0.47446098923683167,0.476110577583313
Generated_Wanted_Questions,이력서,0.34495508670806885,0.31514444947242737,0.3293766677379608
Generated_Wanted_Questions,프로젝트 내역,0.4511779248714447,0.38024091720581055,0.4126832187175751
Generated_Wanted_Questions,회사 공고,0.476677268743515,0.46311527490615845,0.4697984457015991
Generated_Wanted_Questions,전체 데이터,0.5356231927871704,0.3978375196456909,0.45656126737594604
