Candidate Report,Reference Report,BERT_Precision,BERT_Recall,BERT_F1
Generated_InterV_Questions,자기소개서,0.48940733075141907,0.5531781911849976,0.5193424224853516
Generated_InterV_Questions,이력서,0.48598527908325195,0.5572676658630371,0.5191912651062012
Generated_InterV_Questions,프로젝트 내역,0.48939475417137146,0.5912165641784668,0.5355085134506226
Generated_InterV_Questions,회사 공고,0.5009409785270691,0.5590952038764954,0.5284228920936584
Generated_InterV_Questions,전체 데이터,0.6302715539932251,0.6302517652511597,0.6302616596221924
Generated_Wanted_Questions,자기소개서,0.4858408272266388,0.5540547370910645,0.5177105069160461
Generated_Wanted_Questions,이력서,0.49781960248947144,0.5297092795372009,0.5132695436477661
Generated_Wanted_Questions,프로젝트 내역,0.503412127494812,0.5786944031715393,0.5384345650672913
Generated_Wanted_Questions,회사 공고,0.5339462161064148,0.5804451704025269,0.5562256574630737
Generated_Wanted_Questions,전체 데이터,0.6361896991729736,0.6135972142219543,0.6246892809867859
